transform,scaler,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,time_sec,n_customers
raw,standard,kmeans,2,0.8949302226278111,0.7555304383081511,1887.6232591978512,1.3009464740753174,4330
raw,standard,kmeans,3,0.5893904005903525,0.7109624099344756,2966.229459354036,0.7509052753448486,4330
raw,standard,kmeans,4,0.6125735903781909,0.6717724985067598,3227.621982521091,0.6822302341461182,4330
raw,standard,kmeans,5,0.5903226300675772,0.6610214742441544,3609.9850005021904,0.6553952693939209,4330
raw,standard,kmeans,6,0.5800672286481103,0.6296598162997101,3917.1630534197902,0.6095249652862549,4330
raw,standard,agglo,2,0.8963838337485932,0.7676450706756821,1845.271687558609,1.68719482421875,4330
raw,standard,agglo,3,0.5591509880409852,0.7361413171029033,2809.16560971894,1.509232997894287,4330
raw,standard,agglo,4,0.5601695997097038,0.6140751613477512,2902.4225775743475,1.5823090076446533,4330
raw,standard,agglo,5,0.578006183908212,0.685013316261345,3281.0877680789367,1.2487893104553223,4330
raw,standard,agglo,6,0.578817233361779,0.6401547267776556,3525.145020523944,1.2054991722106934,4330
raw,standard,gmm,2,0.43624446310316545,1.2398749234233692,864.3726741611463,0.6471593379974365,4330
raw,standard,gmm,3,0.14711768602644001,1.3304739038991455,912.4233760993554,0.6253767013549805,4330
raw,standard,gmm,4,0.11944794460311106,1.610716018071022,780.3154278822572,0.8069133758544922,4330
raw,standard,gmm,5,0.10940200028624492,2.242274811866003,581.8670884938925,0.9294381141662598,4330
raw,standard,gmm,6,0.10888157210597954,2.720281049605866,902.3011342222545,0.853621244430542,4330
raw,robust,kmeans,2,0.979924295135236,0.3590253791775799,6670.18745000236,0.5310380458831787,4330
raw,robust,kmeans,3,0.9456150040257684,0.4284101525662032,7599.086191701463,0.5208921432495117,4330
raw,robust,kmeans,4,0.7850691301668262,0.5698210741381193,7961.53515100037,0.5282425880432129,4330
raw,robust,kmeans,5,0.7306239356380501,0.5755371758438977,8830.560440243287,0.5543568134307861,4330
raw,robust,kmeans,6,0.6143352443275917,0.6364545968759575,9039.542872580989,0.5220754146575928,4330
raw,robust,agglo,2,0.9635881743588334,0.6241115506918984,5014.311345874208,1.0576167106628418,4330
raw,robust,agglo,3,0.9530339050686101,0.411055200956623,7377.38460320094,1.0473530292510986,4330
raw,robust,agglo,4,0.6764870176838604,0.6291963592755828,7566.490506202311,1.033432960510254,4330
raw,robust,agglo,5,0.6765905567465884,0.685288742629537,7639.563141692575,0.9807295799255371,4330
raw,robust,agglo,6,0.6311663590073554,0.6577808543487244,8619.722968787393,0.9963133335113525,4330
raw,robust,gmm,2,0.6512779107712905,1.084962739361769,635.0927915597495,0.6151058673858643,4330
raw,robust,gmm,3,0.3619416856813153,1.066278045720144,729.4856980051355,0.6947009563446045,4330
raw,robust,gmm,4,0.3466244559203432,0.8474879938564597,3321.002511573055,0.8609342575073242,4330
raw,robust,gmm,5,0.22788205200128023,1.0845234751707797,1813.4792848023897,1.036719560623169,4330
raw,robust,gmm,6,0.1893731719912346,1.1605347003927635,1921.3954079887526,1.4472041130065918,4330
log1p,standard,kmeans,2,0.40335436754551707,0.9243324928249996,3783.7369388205516,0.4666571617126465,4330
log1p,standard,kmeans,3,0.41312527681835504,0.8360275191082976,4209.559286754081,0.44255685806274414,4330
log1p,standard,kmeans,4,0.3754010004391507,0.8720330898475683,4124.710450282543,0.49764132499694824,4330
log1p,standard,kmeans,5,0.33315729414377776,0.9699544975169031,3755.929737372875,0.49480676651000977,4330
log1p,standard,kmeans,6,0.321960978895094,0.9802071571731066,3559.1257629850893,0.48516845703125,4330
log1p,standard,agglo,2,0.37753404857555234,0.7896415153447631,2560.6402666030035,1.0479531288146973,4330
log1p,standard,agglo,3,0.3674348281123978,0.7842069362125749,3337.870672530288,1.0348443984985352,4330
log1p,standard,agglo,4,0.32723718529310364,0.9202015978363141,3491.4856194799795,1.011805534362793,4330
log1p,standard,agglo,5,0.26903309358337674,1.167220966567162,3143.248013514553,0.939619779586792,4330
log1p,standard,agglo,6,0.27192989831403763,1.0941111036072189,2960.7640872232787,1.0498039722442627,4330
log1p,standard,gmm,2,0.3074701536484888,1.2050955778219057,2140.9584123419886,0.5773332118988037,4330
log1p,standard,gmm,3,0.163119315306423,1.6962542901238231,1720.7616754802818,0.6837940216064453,4330
log1p,standard,gmm,4,0.08744677283742693,2.226967875760991,1344.9548097134386,0.9442236423492432,4330
log1p,standard,gmm,5,0.06389450662794478,2.52324512363869,1159.8317066363861,1.264117956161499,4330
log1p,standard,gmm,6,0.025430734710434295,2.1490471575880243,1064.8306080528394,1.118628978729248,4330
log1p,robust,kmeans,2,0.3892676262483481,0.9863720109832297,3473.9733118911417,0.4657096862792969,4330
log1p,robust,kmeans,3,0.4179107812147718,0.8154813190074227,4396.879759499278,0.46198606491088867,4330
log1p,robust,kmeans,4,0.36299781671840725,0.8967709176212626,4088.1180373601583,0.4382669925689697,4330
log1p,robust,kmeans,5,0.3500827339267057,0.9437397556378448,3752.1502233535607,0.46190524101257324,4330
log1p,robust,kmeans,6,0.317741956417521,0.9704419026766257,3595.5348109684564,0.49305248260498047,4330
log1p,robust,agglo,2,0.4261867322475372,0.8953657335134653,3146.995622475067,1.0238521099090576,4330
log1p,robust,agglo,3,0.3764961056714535,0.8606167263467389,3670.774408747687,1.1472327709197998,4330
log1p,robust,agglo,4,0.32111064162479963,0.8818850882656999,3471.075504531845,1.0467326641082764,4330
log1p,robust,agglo,5,0.30479934416358406,1.0631953320696592,3279.9994679317197,1.01295804977417,4330
log1p,robust,agglo,6,0.30232869362867015,1.0026108795487492,2995.7221471033213,1.0079996585845947,4330
log1p,robust,gmm,2,0.3473267714417458,1.1134391221820998,2562.2911617275513,0.6019635200500488,4330
log1p,robust,gmm,3,0.17595221914133952,1.6498793814597346,2012.713306765073,0.6891682147979736,4330
log1p,robust,gmm,4,0.06847367481356917,2.4566453914578625,1284.983632676852,0.9176409244537354,4330
log1p,robust,gmm,5,0.04058814287725626,2.493890205628948,1033.1800230615934,0.8873295783996582,4330
log1p,robust,gmm,6,0.004716242144971405,2.352180371792572,983.8374532790823,0.9750213623046875,4330
